Comment,Designator,Footprint
10k,RV1,RES3_PV36W103C01B00_BRN
1k,R2,R_1206_3216Metric
510,R1,R_0805_2012Metric
LED,"D12,D11,D10,D9,D8,D7,D6,D5,D4,D3,D2",LED_0402_1005Metric
0.1uF,"C5,C3",C_0603_1608Metric
0.0033uF,C4,C_0402_1005Metric
220uF,C2,CP_Radial_D10.0mm_P5.00mm
~,"U2,U11,U10,U7,U4,U9,U6,U5,U8,U3",OR-M4XXA
LM2596S-ADJ,U12,TO-263-5_TabPin3
Screw_Terminal_01x02,J1,TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal
Screw_Terminal_01x11,J2,"TerminalBlock_Phoenix_MKDS-1,5-11_1x11_P5.00mm_Horizontal"
1000 uF,C1,CP_Radial_D12.5mm_P5.00mm
DF04S,BR1,SOP510P1040X260-4N
33uH,L1,L_Vishay_IHLP-5050
4816P-T02-681LF,"RN1,RN2",SOIC127P762X240-16N
SS34,D1,D_SMA
ESP32_DevKit_V1_DOIT,U1,esp32_devkit_v1
